#     it    Ltra    Lval
   349   0.0545   0.0947
   350   0.0545   0.0948
   351   0.0545   0.0947
   352   0.0545   0.0947
   353   0.0545   0.0947
   354   0.0545   0.0947
   355   0.0545   0.0947
   356   0.0545   0.0947
   357   0.0545   0.0947
   358   0.0545   0.0948
   359   0.0545   0.0948
   360   0.0545   0.0948
   361   0.0544   0.0948
   362   0.0544   0.0948
   363   0.0544   0.0948
   364   0.0544   0.0948
   365   0.0544   0.0947
   366   0.0544   0.0947
   367   0.0544   0.0947
   368   0.0544   0.0947
   369   0.0544   0.0947
   370   0.0544   0.0947
   371   0.0544   0.0947
   372   0.0544   0.0947
   373   0.0544   0.0947
   374   0.0544   0.0947
   375   0.0544   0.0947
   376   0.0544   0.0947
   377   0.0544   0.0947
   378   0.0544   0.0947
   379   0.0544   0.0947
   380   0.0544   0.0947
   381   0.0544   0.0947
   382   0.0544   0.0947
   383   0.0544   0.0947
   384   0.0544   0.0947
   385   0.0544   0.0947
   386   0.0544   0.0947
   387   0.0544   0.0947
   388   0.0544   0.0946
   389   0.0544   0.0946
   390   0.0544   0.0946
   391   0.0544   0.0946
   392   0.0544   0.0946
   393   0.0544   0.0946
   394   0.0544   0.0946
   395   0.0544   0.0946
   396   0.0544   0.0946
   397   0.0544   0.0946
   398   0.0544   0.0946
   399   0.0544   0.0946
   400   0.0544   0.0946
   401   0.0544   0.0946
   402   0.0544   0.0945
   403   0.0544   0.0945
   404   0.0544   0.0945
   405   0.0544   0.0945
   406   0.0544   0.0945
   407   0.0544   0.0945
   408   0.0544   0.0945
   409   0.0544   0.0945
   410   0.0544   0.0946
   411   0.0544   0.0946
   412   0.0544   0.0945
   413   0.0544   0.0945
   414   0.0544   0.0945
   415   0.0544   0.0945
   416   0.0544   0.0945
   417   0.0544   0.0945
   418   0.0544   0.0945
   419   0.0544   0.0945
   420   0.0544   0.0945
   421   0.0544   0.0945
   422   0.0544   0.0945
   423   0.0544   0.0945
   424   0.0544   0.0945
   425   0.0544   0.0945
   426   0.0544   0.0945
   427   0.0544   0.0945
   428   0.0544   0.0945
   429   0.0544   0.0945
   430   0.0544   0.0946
   431   0.0544   0.0945
   432   0.0544   0.0945
   433   0.0544   0.0945
   434   0.0544   0.0945
   435   0.0544   0.0945
   436   0.0544   0.0945
   437   0.0544   0.0945
   438   0.0544   0.0945
   439   0.0544   0.0946
   440   0.0544   0.0946
   441   0.0544   0.0946
   442   0.0544   0.0946
   443   0.0544   0.0946
   444   0.0544   0.0946
   445   0.0544   0.0946
   446   0.0544   0.0946
   447   0.0544   0.0946
   448   0.0544   0.0946
   449   0.0544   0.0946
   450   0.0544   0.0946
   451   0.0544   0.0946
   452   0.0544   0.0946
   453   0.0544   0.0946
   454   0.0544   0.0946
   455   0.0544   0.0946
   456   0.0544   0.0946
   457   0.0544   0.0946
   458   0.0544   0.0946
   459   0.0544   0.0946
   460   0.0544   0.0946
   461   0.0544   0.0946
   462   0.0544   0.0946
   463   0.0544   0.0946
   464   0.0544   0.0946
   465   0.0544   0.0946
   466   0.0544   0.0946
   467   0.0544   0.0946
   468   0.0544   0.0946
   469   0.0544   0.0946
   470   0.0544   0.0946
   471   0.0544   0.0946
   472   0.0544   0.0946
   473   0.0544   0.0946
   474   0.0544   0.0946
   475   0.0544   0.0946
   476   0.0544   0.0946
   477   0.0544   0.0945
   478   0.0544   0.0945
   479   0.0544   0.0945
   480   0.0544   0.0945
   481   0.0544   0.0945
   482   0.0544   0.0945
   483   0.0544   0.0945
   484   0.0544   0.0945
   485   0.0544   0.0945
   486   0.0544   0.0945
   487   0.0544   0.0945
   488   0.0544   0.0945
   489   0.0544   0.0945
   490   0.0544   0.0945
