#     it    Ltra    Lval
   428   0.0544   0.0949
   429   0.0544   0.0949
   430   0.0544   0.0949
   431   0.0544   0.0948
   432   0.0544   0.0948
   433   0.0544   0.0948
   434   0.0544   0.0948
   435   0.0544   0.0948
   436   0.0544   0.0948
   437   0.0544   0.0947
   438   0.0544   0.0947
   439   0.0544   0.0947
   440   0.0544   0.0947
   441   0.0544   0.0947
   442   0.0544   0.0947
   443   0.0544   0.0946
   444   0.0544   0.0946
   445   0.0544   0.0946
   446   0.0544   0.0946
   447   0.0544   0.0945
   448   0.0544   0.0945
   449   0.0544   0.0945
   450   0.0544   0.0945
   451   0.0544   0.0945
   452   0.0544   0.0945
   453   0.0544   0.0945
   454   0.0544   0.0945
   455   0.0544   0.0944
   456   0.0544   0.0944
   457   0.0544   0.0944
   458   0.0544   0.0944
   459   0.0544   0.0944
   460   0.0544   0.0943
   461   0.0544   0.0943
   462   0.0544   0.0943
   463   0.0544   0.0943
   464   0.0544   0.0943
   465   0.0544   0.0944
   466   0.0544   0.0944
   467   0.0544   0.0943
   468   0.0544   0.0943
   469   0.0544   0.0943
   470   0.0544   0.0943
   471   0.0544   0.0943
   472   0.0544   0.0943
   473   0.0544   0.0943
   474   0.0544   0.0943
   475   0.0544   0.0943
   476   0.0544   0.0943
   477   0.0544   0.0942
   478   0.0544   0.0942
   479   0.0544   0.0942
   480   0.0544   0.0942
   481   0.0544   0.0942
   482   0.0544   0.0941
   483   0.0544   0.0942
   484   0.0544   0.0942
   485   0.0544   0.0942
   486   0.0544   0.0942
   487   0.0544   0.0942
   488   0.0544   0.0942
   489   0.0544   0.0941
   490   0.0544   0.0941
   491   0.0544   0.0941
   492   0.0544   0.0941
   493   0.0544   0.0941
