#     it    Ltra    Lval
   445   0.0947   0.0526
   446   0.0947   0.0509
   447   0.0947   0.0516
   448   0.0947   0.0517
   449   0.0947   0.0519
   450   0.0947   0.0518
   451   0.0947   0.0516
   452   0.0947   0.0515
   453   0.0947   0.0513
   454   0.0947   0.0511
   455   0.0947   0.0508
   456   0.0947   0.0509
   457   0.0947   0.0510
   458   0.0947   0.0509
   459   0.0947   0.0511
   460   0.0947   0.0508
   461   0.0947   0.0508
   462   0.0947   0.0509
   463   0.0947   0.0507
   464   0.0947   0.0507
   465   0.0947   0.0509
   466   0.0947   0.0507
   467   0.0947   0.0506
   468   0.0947   0.0505
   469   0.0946   0.0505
   470   0.0946   0.0505
   471   0.0946   0.0502
   472   0.0946   0.0506
   473   0.0946   0.0508
   474   0.0946   0.0508
   475   0.0946   0.0507
   476   0.0946   0.0506
   477   0.0946   0.0505
   478   0.0946   0.0503
   479   0.0946   0.0503
   480   0.0946   0.0504
   481   0.0946   0.0504
   482   0.0946   0.0505
   483   0.0946   0.0505
   484   0.0946   0.0505
   485   0.0946   0.0504
   486   0.0946   0.0505
   487   0.0946   0.0504
   488   0.0946   0.0501
   489   0.0946   0.0502
   490   0.0946   0.0502
   491   0.0946   0.0507
   492   0.0946   0.0507
   493   0.0946   0.0507
   494   0.0946   0.0506
   495   0.0946   0.0506
   496   0.0946   0.0506
   497   0.0945   0.0501
   498   0.0945   0.0503
   499   0.0945   0.0502
   500   0.0945   0.0502
   501   0.0945   0.0501
   502   0.0945   0.0502
   503   0.0945   0.0504
   504   0.0945   0.0504
   505   0.0945   0.0504
   506   0.0945   0.0504
   507   0.0945   0.0507
   508   0.0945   0.0502
   509   0.0945   0.0505
   510   0.0945   0.0506
   511   0.0945   0.0506
   512   0.0945   0.0506
   513   0.0945   0.0504
   514   0.0945   0.0505
   515   0.0945   0.0508
   516   0.0945   0.0510
   517   0.0945   0.0509
   518   0.0945   0.0508
   519   0.0945   0.0505
   520   0.0945   0.0506
   521   0.0945   0.0503
   522   0.0945   0.0497
   523   0.0945   0.0500
   524   0.0945   0.0501
   525   0.0945   0.0506
   526   0.0945   0.0503
   527   0.0945   0.0501
   528   0.0945   0.0497
   529   0.0944   0.0496
   530   0.0944   0.0492
   531   0.0944   0.0495
   532   0.0944   0.0496
   533   0.0944   0.0496
   534   0.0944   0.0491
   535   0.0944   0.0491
   536   0.0944   0.0492
   537   0.0944   0.0490
   538   0.0944   0.0493
   539   0.0944   0.0489
   540   0.0944   0.0484
   541   0.0944   0.0481
   542   0.0944   0.0479
   543   0.0944   0.0480
   544   0.0943   0.0479
   545   0.0943   0.0483
   546   0.0943   0.0490
   547   0.0943   0.0489
   548   0.0943   0.0487
   549   0.0943   0.0484
   550   0.0943   0.0483
   551   0.0943   0.0481
   552   0.0943   0.0479
   553   0.0942   0.0473
   554   0.0942   0.0473
   555   0.0942   0.0475
   556   0.0942   0.0476
   557   0.0942   0.0473
   558   0.0942   0.0466
   559   0.0942   0.0474
   560   0.0942   0.0477
   561   0.0942   0.0475
   562   0.0942   0.0474
   563   0.0942   0.0474
   564   0.0942   0.0471
   565   0.0942   0.0471
   566   0.0941   0.0468
   567   0.0941   0.0470
   568   0.0941   0.0466
   569   0.0941   0.0467
   570   0.0941   0.0466
   571   0.0941   0.0465
   572   0.0941   0.0464
   573   0.0941   0.0469
   574   0.0941   0.0466
   575   0.0941   0.0463
   576   0.0941   0.0463
   577   0.0941   0.0464
   578   0.0941   0.0464
   579   0.0941   0.0462
   580   0.0941   0.0461
   581   0.0941   0.0458
   582   0.0941   0.0457
   583   0.0941   0.0458
   584   0.0941   0.0453
   585   0.0940   0.0460
   586   0.0940   0.0455
   587   0.0940   0.0453
   588   0.0940   0.0455
   589   0.0940   0.0457
   590   0.0940   0.0457
   591   0.0940   0.0456
   592   0.0940   0.0454
   593   0.0940   0.0453
   594   0.0940   0.0453
   595   0.0940   0.0453
   596   0.0940   0.0450
   597   0.0940   0.0454
   598   0.0940   0.0453
   599   0.0940   0.0455
   600   0.0940   0.0453
   601   0.0940   0.0453
   602   0.0940   0.0454
   603   0.0940   0.0453
   604   0.0940   0.0453
   605   0.0940   0.0452
   606   0.0940   0.0452
   607   0.0940   0.0451
   608   0.0940   0.0446
   609   0.0940   0.0449
   610   0.0940   0.0450
   611   0.0940   0.0451
   612   0.0940   0.0452
   613   0.0940   0.0452
   614   0.0940   0.0452
   615   0.0940   0.0451
   616   0.0940   0.0451
   617   0.0940   0.0450
   618   0.0940   0.0450
   619   0.0940   0.0451
   620   0.0940   0.0450
   621   0.0940   0.0452
   622   0.0940   0.0452
   623   0.0940   0.0452
   624   0.0940   0.0452
   625   0.0940   0.0450
   626   0.0940   0.0448
   627   0.0940   0.0448
   628   0.0940   0.0448
   629   0.0940   0.0448
   630   0.0940   0.0448
   631   0.0940   0.0449
   632   0.0940   0.0450
   633   0.0940   0.0448
   634   0.0940   0.0449
   635   0.0940   0.0449
   636   0.0939   0.0449
