#     it    Ltra    Lval
   373   0.0071   0.0109
   374   0.0071   0.0108
   375   0.0071   0.0108
   376   0.0071   0.0108
   377   0.0071   0.0108
   378   0.0071   0.0109
   379   0.0071   0.0111
   380   0.0071   0.0110
   381   0.0071   0.0111
   382   0.0071   0.0111
   383   0.0071   0.0111
   384   0.0071   0.0111
   385   0.0071   0.0112
   386   0.0071   0.0112
   387   0.0071   0.0113
   388   0.0071   0.0114
   389   0.0071   0.0116
   390   0.0071   0.0116
   391   0.0071   0.0116
   392   0.0071   0.0116
   393   0.0071   0.0116
   394   0.0071   0.0115
   395   0.0071   0.0114
   396   0.0071   0.0112
   397   0.0071   0.0110
   398   0.0071   0.0107
   399   0.0071   0.0109
   400   0.0071   0.0109
   401   0.0070   0.0109
   402   0.0070   0.0109
   403   0.0070   0.0109
   404   0.0070   0.0110
   405   0.0070   0.0110
   406   0.0070   0.0109
   407   0.0070   0.0109
   408   0.0070   0.0109
   409   0.0070   0.0110
   410   0.0070   0.0111
   411   0.0070   0.0112
   412   0.0070   0.0112
   413   0.0070   0.0112
   414   0.0070   0.0112
   415   0.0070   0.0112
   416   0.0070   0.0111
   417   0.0070   0.0111
   418   0.0070   0.0110
   419   0.0070   0.0109
   420   0.0070   0.0109
   421   0.0070   0.0109
   422   0.0070   0.0109
   423   0.0070   0.0109
   424   0.0070   0.0108
   425   0.0070   0.0108
   426   0.0070   0.0107
   427   0.0070   0.0107
   428   0.0070   0.0107
   429   0.0070   0.0108
   430   0.0070   0.0109
   431   0.0070   0.0110
   432   0.0070   0.0110
   433   0.0070   0.0110
   434   0.0070   0.0110
   435   0.0070   0.0110
   436   0.0070   0.0111
   437   0.0070   0.0111
   438   0.0070   0.0111
   439   0.0070   0.0111
   440   0.0070   0.0111
   441   0.0070   0.0111
   442   0.0070   0.0111
   443   0.0070   0.0110
   444   0.0069   0.0110
   445   0.0069   0.0111
   446   0.0069   0.0110
   447   0.0069   0.0111
   448   0.0069   0.0111
   449   0.0069   0.0111
   450   0.0069   0.0111
   451   0.0069   0.0112
   452   0.0069   0.0112
   453   0.0069   0.0115
   454   0.0069   0.0117
   455   0.0069   0.0118
   456   0.0069   0.0117
   457   0.0069   0.0118
   458   0.0069   0.0118
   459   0.0069   0.0118
   460   0.0069   0.0119
   461   0.0069   0.0119
   462   0.0069   0.0118
   463   0.0069   0.0117
   464   0.0069   0.0117
   465   0.0068   0.0117
   466   0.0068   0.0117
   467   0.0068   0.0117
   468   0.0068   0.0118
   469   0.0068   0.0119
   470   0.0068   0.0119
   471   0.0068   0.0119
   472   0.0068   0.0119
   473   0.0068   0.0120
   474   0.0068   0.0121
   475   0.0068   0.0122
   476   0.0068   0.0126
   477   0.0068   0.0131
   478   0.0068   0.0133
   479   0.0067   0.0132
   480   0.0067   0.0128
   481   0.0067   0.0129
   482   0.0067   0.0129
   483   0.0067   0.0129
   484   0.0067   0.0128
   485   0.0067   0.0128
   486   0.0067   0.0128
   487   0.0067   0.0128
   488   0.0067   0.0128
   489   0.0067   0.0128
   490   0.0067   0.0127
   491   0.0067   0.0126
   492   0.0066   0.0126
   493   0.0066   0.0126
   494   0.0066   0.0125
   495   0.0066   0.0124
   496   0.0066   0.0123
   497   0.0066   0.0123
   498   0.0066   0.0122
   499   0.0066   0.0122
   500   0.0065   0.0121
